MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"HD  13522" "02 12 37.5398" "+24 10 04.010" "" "" "" "" "" "" "" "" 5.949999809265137 5.775 0
"* 101 Her" "18 08 52.8638" "+20 02 42.838" "" "" "" "" "" "" "" "" 5.098999977111816 9.549 0
"*  14 Psc" "23 34 09.0149" "-01 14 51.220" "" "" "" "" "" "" "" "" 5.869999885559082 14.536 0
"HD  10307" "01 41 47.1268" "+42 36 48.221" "" "" "" "" "" "" "" "" 4.960000038146973 68.024 0
"*  63 Sgr" "20 01 58.5993" "-13 38 13.975" "" "" "" "" "" "" "" "" 5.690000057220459 10.989 0
"* b Dra A" "18 23 54.6068" "+58 48 02.655" "" "" "" "" "" "" "" "" 5.050000190734863 17.162 0
"HD 107295" "12 20 10.7676" "-22 10 32.518" "" "" "" "" "" "" "" "" 5.96999979019165 8.450 0
"* nu. Eri" "04 36 19.1414" "-03 21 08.856" "" "" "" "" "" "" "" "" 3.927999973297119 4.830 0
"* iot Tri A" "02 12 22.2796" "+30 18 11.053" "" "" "" "" "" "" "" "" 5.1620001792907715 11.301 0
"* L Vel" "09 34 08.7932" "-51 15 18.953" "" "" "" "" "" "" "" "" 5.03000020980835 3.610 0
"V* FF Aql" "18 58 14.7483" "+17 21 39.297" "" "" "" "" "" "" "" "" 5.380000114440918 1.906 0
"HD 128974" "14 41 01.3897" "-36 08 05.492" "" "" "" "" "" "" "" "" 5.6579999923706055 4.767 0
"* ksi Cyg" "21 04 55.8622" "+43 55 40.264" "" "" "" "" "" "" "" "" 3.7300000190734863 3.870 0
"HD 168592" "18 22 18.5733" "-38 39 24.826" "" "" "" "" "" "" "" "" 5.072999954223633 6.718 0
"*  17 Cam" "05 30 10.2032" "+63 04 01.989" "" "" "" "" "" "" "" "" 5.4070000648498535 3.042 0
"HD 154733" "17 06 18.0468" "+22 05 02.953" "" "" "" "" "" "" "" "" 5.565000057220459 9.286 0
"HD  18885" "03 01 56.1190" "-09 57 41.053" "" "" "" "" "" "" "" "" 5.836999893188477 9.627 0
"HD 114533" "13 14 17.3297" "-78 26 50.836" "" "" "" "" "" "" "" "" 5.839000225067139 1.553 0
"*   8 PsA" "21 36 10.9737" "-26 10 17.456" "" "" "" "" "" "" "" "" 5.724999904632568 18.298 0
"*  53 Dra" "19 11 40.5809" "+56 51 33.139" "" "" "" "" "" "" "" "" 5.125 8.941 0
"*  56 Tau" "04 19 36.7048" "+21 46 24.566" "" 3270000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.3460001945495605 11.402 0
"* tet Aur" "05 59 43.2701" "+37 12 45.304" "" 6370000.00 "" km "" V Interfer 2014MNRAS.443.1629S 2.619999885559082 19.700 0
"* k Car" "09 20 56.8130" "-62 24 16.681" "" "" "" "" "" "" "" "" 4.800000190734863 14.517 0
"HD 142165" "15 53 53.9142" "-24 31 59.373" "" "" "" "" "" "" "" "" 5.372000217437744 7.278 0
"* n Tau" "05 19 16.6061" "+22 05 47.421" "" "" "" "" "" "" "" "" 4.947999954223633 14.011 0
"V* FW Vir" "12 38 22.4057" "+01 51 16.779" "" "" "" "" "" "" "" "" 5.710000038146973 5.644 0
"* eta CMa" "07 24 05.7022" "-29 18 11.179" "" "" "" "" "" "" "" "" 2.450000047683716 1.640 0
"* e01 Sgr" "19 40 43.3830" "-16 17 35.774" "" "" "" "" "" "" "" "" 5.296000003814697 12.992 0
"HD  15920" "02 38 02.0331" "+72 49 05.710" "" "" "" "" "" "" "" "" 5.165999889373779 12.134 0
"HD  77475" "09 01 20.8651" "-41 51 51.334" "" "" "" "" "" "" "" "" 5.540999889373779 6.605 0
"* alf Psc A" "02 02 02.8219" "+02 45 49.579" "" 2880000.00 "" km "" V Interfer 2014MNRAS.443.1629S 4.110000133514404 19.799 0
"* eta Ant" "09 58 52.2754" "-35 53 27.502" "" "" "" "" "" "" "" "" 5.2220001220703125 30.050 0
"HD  49878" "07 00 04.0371" "+76 58 38.671" "" "" "" "" "" "" "" "" 4.539999961853027 17.075 0
"* iot Boo" "14 16 09.9297" "+51 22 02.028" "" "" "" "" "" "" "" "" 4.75 33.886 0
"* tet Lup" "16 06 35.5439" "-36 48 08.173" "" "" "" "" "" "" "" "" 4.201000213623047 7.369 0
"*  31 Cas" "01 10 39.3224" "+68 46 43.041" "" "" "" "" "" "" "" "" 5.309000015258789 10.680 0
"* iot Tuc" "01 07 18.6643" "-61 46 31.038" "" "" "" "" "" "" "" "" 5.3420000076293945 10.666 0
"* R Aps" "14 57 52.9835" "-76 39 45.556" "" "" "" "" "" "" "" "" 5.359000205993652 7.888 0
"HD  20809" "03 23 13.1970" "+49 12 47.774" "" "" "" "" "" "" "" "" 5.300000190734863 5.682 0
"HD  58612" "07 25 25.2677" "-25 13 03.954" "" "" "" "" "" "" "" "" 5.7820000648498535 2.233 0
"HD  10390" "01 42 03.4896" "+35 14 44.538" "" "" "" "" "" "" "" "" 5.639999866485596 11.188 0
"*   6 Dra" "12 34 44.0192" "+70 01 18.405" "" "" "" "" "" "" "" "" 4.946000099182129 6.616 0
"HD 200253" "21 01 12.8647" "+36 01 33.642" "" "" "" "" "" "" "" "" 5.997000217437744 5.387 0
"V* V416 Lac" "22 38 37.9233" "+56 47 44.277" "" "" "" "" "" "" "" "" 5.166999816894531 7.223 0
"HD 200073" "21 02 27.1654" "-38 31 51.490" "" 9980000.00 "" km "" "" "" 2011A&A...536A..71J 5.940000057220459 14.358 0
"HD  84117" "09 42 14.4162" "-23 54 56.042" "" "" "" "" "" "" "" "" 4.940000057220459 66.883 0
"* c Per" "04 08 39.6921" "+47 42 45.042" "" "" "" "" "" "" "" "" 4.03000020980835 6.840 0
"* k Tau" "04 58 09.3920" "+25 03 01.464" "" "" "" "" "" "" "" "" 5.784999847412109 10.138 0
"*  35 Vul" "21 27 40.0577" "+27 36 30.939" "" "" "" "" "" "" "" "" 5.379000186920166 16.916 0
"HD    645" "00 10 42.8341" "-12 34 47.633" "" 10200000.00 "" km 348000.00 BV BrighCol 2013A&A...554A..84M 5.848999977111816 13.729 0
"HR  6586" "17 44 55.8646" "-57 32 43.944" "" "" "" "" "" "" "" "" 5.964000225067139 7.600 0
"HD 193092" "20 16 55.2856" "+40 21 54.273" "" "" "" "" "" "" "" "" 5.236000061035156 1.718 0
"HR  3661" "09 12 30.5228" "-43 36 47.737" "" "" "" "" "" "" "" "" 5.561999797821045 4.710 0
"HD 116457" "13 25 13.9265" "-64 29 06.537" "" "" "" "" "" "" "" "" 5.311999797821045 26.263 0
"* g Cyg" "21 29 26.9497" "+46 32 26.107" "" 11600000.00 "" km 264000.00 BV BrighCol 2013A&A...554A..84M 5.2170000076293945 15.287 0
"*   4 Vul" "19 25 28.6026" "+19 47 54.070" "" "" "" "" "" "" "" "" 5.159999847412109 12.749 0
"*  33 LMi" "10 31 51.3753" "+32 22 46.405" "" "" "" "" "" "" "" "" 5.90500020980835 12.101 0
"*  69 Aql" "20 29 39.0000" "-02 53 07.901" "" "" "" "" "" "" "" "" 4.900000095367432 16.880 0
"* del02 CMi" "07 33 11.6657" "+03 17 25.365" "" "" "" "" "" "" "" "" 5.571000099182129 23.149 0
"* bet Lac" "22 23 33.6237" "+52 13 44.564" "" 14400000.00 "" km 292000.00 BV BrighCol 2013A&A...554A..84M 4.440000057220459 19.190 0
"HD  14622" "02 22 50.3034" "+41 23 46.657" "" "" "" "" "" "" "" "" 5.795000076293945 20.691 0
"HD  45871A" "06 28 39.2336" "-32 22 16.625" "" "" "" "" "" "" "" "" 5.889999866485596 "" 0
"*  47 Oph" "17 26 37.8809" "-05 05 11.749" "" "" "" "" "" "" "" "" 4.539999961853027 33.250 0
"HD  55344" "07 11 41.6047" "-20 52 59.019" "" "" "" "" "" "" "" "" 5.824999809265137 6.464 0
"* mu. Tau" "04 15 32.0580" "+08 53 32.478" "" "" "" "" "" "" "" "" 4.2789998054504395 6.446 0
"HD  16028" "02 35 38.7410" "+37 18 44.132" "" "" "" "" "" "" "" "" 5.710000038146973 4.093 0
"HD  93163" "10 43 51.1941" "-64 14 56.550" "" "" "" "" "" "" "" "" 5.748000144958496 2.638 0
"HD   5608" "00 58 14.2189" "+33 57 03.184" "" 6960000.00 "" km 139000.00 "" "" 2016A&A...585A...5B 5.980000019073486 17.070 0
"* b Cap" "21 28 43.4007" "-21 48 25.847" "" "" "" "" "" "" "" "" 4.5 17.470 0
"HD 111884" "12 53 04.1646" "-54 57 08.905" "" "" "" "" "" "" "" "" 5.9079999923706055 7.468 0
"HD  50445" "06 51 42.4207" "-36 13 48.979" "" "" "" "" "" "" "" "" 5.940000057220459 18.143 0
"V* V1743 Cyg" "19 33 41.6060" "+49 15 44.347" "" "" "" "" "" "" "" "" 5.960000038146973 2.741 0
"HD  62412" "07 42 48.1523" "-26 21 04.775" "" "" "" "" "" "" "" "" 5.627999782562256 9.902 0
"HD  74146" "08 39 57.5984" "-53 03 17.016" "" "" "" "" "" "" "" "" 5.190000057220459 6.558 0
"HD  28413" "04 25 05.3369" "-61 14 17.491" "" "" "" "" "" "" "" "" 5.921999931335449 4.495 0
"HD 165687" "18 07 48.3402" "-17 09 14.970" "" "" "" "" "" "" "" "" 5.507999897003174 11.801 0
"HD 122438" "14 03 26.5063" "-56 12 48.363" "" "" "" "" "" "" "" "" 5.922999858856201 6.228 0
"HD 139493" "15 35 57.0330" "+54 37 49.802" "" "" "" "" "" "" "" "" 5.789999961853027 13.908 0
"CD-43 12272A" "18 06 49.8929" "-43 25 30.800" "" "" "" "" "" "" "" "" 5.619999885559082 22.742 0
"*  41 Lyn" "09 28 39.9886" "+45 36 05.331" "" 14600000.00 "" km 557000.00 "" "" 2016A&A...585A...5B 5.39300012588501 11.816 0
"HD 168905" "18 24 18.2394" "-44 06 36.918" "" "" "" "" "" "" "" "" 5.2270002365112305 5.567 0
"HD   1801" "00 21 28.7722" "-77 25 36.774" "" "" "" "" "" "" "" "" 5.959000110626221 4.026 0
"* ksi Ori" "06 11 56.3969" "+14 12 31.555" "" "" "" "" "" "" "" "" 4.480000019073486 5.370 0
"* z02 Car" "11 08 33.9978" "-61 56 49.832" "" "" "" "" "" "" "" "" 5.190000057220459 0.385 0
"V* S Car" "10 09 21.8927" "-61 32 56.433" "" "" "" "" "" "" "" "" 5.710000038146973 2.138 0
"* ups Peg" "23 25 22.7828" "+23 24 14.762" "" "" "" "" "" "" "" "" 4.400000095367432 18.706 0
"V* V686 CrA" "18 56 40.4859" "-37 20 35.701" "" 3580000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.380000114440918 6.843 0
"HD 218792" "23 10 42.6370" "+17 35 39.743" "" "" "" "" "" "" "" "" 5.660999774932861 6.698 0
"HD 191829" "20 14 19.0252" "-52 26 44.755" "" "" "" "" "" "" "" "" 5.631999969482422 4.585 0
"*  25 Her" "16 25 24.1688" "+37 23 38.586" "" "" "" "" "" "" "" "" 5.539999961853027 13.190 0
"* i01 Aqr" "23 44 12.0781" "-18 16 37.018" "" "" "" "" "" "" "" "" 5.238999843597412 7.590 0
"HD 214690" "22 40 22.3051" "-30 39 31.931" "" "" "" "" "" "" "" "" 5.889999866485596 5.953 0
"* eta Peg" "22 43 00.1288" "+30 13 16.372" "" 31000000.00 "" km 1570000.00 BV BrighCol 2013A&A...554A..84M 2.950000047683716 16.631 0
"HD 145782" "16 15 49.7975" "-57 54 44.457" "" "" "" "" "" "" "" "" 5.622000217437744 8.158 0
"HD 144204" "16 02 05.5655" "+52 54 57.377" "" "" "" "" "" "" "" "" 5.9019999504089355 3.643 0
"* mu. Gem" "06 22 57.6268" "+22 30 48.897" "" "" "" "" "" "" "" "" 2.869999885559082 14.080 0
"*  39 Cyg" "20 23 51.6206" "+32 11 24.619" "" 31000000.00 "" km 1170000.00 BV BrighCol 2013A&A...554A..84M 4.440000057220459 13.050 0
"HR  6178" "16 39 05.2266" "-37 13 02.553" "" "" "" "" "" "" "" "" 5.914000034332275 6.883 0
"HD  44323" "06 19 40.9567" "-34 23 47.727" "" "" "" "" "" "" "" "" 5.749000072479248 7.951 0
"* eps CrA" "18 58 43.3827" "-37 06 26.380" "" "" "" "" "" "" "" "" 4.829999923706055 31.808 0
"*  74 Psc A" "01 05 40.9552" "+21 28 23.448" "" "" "" "" "" "" "" "" 5.2729997634887695 11.860 0
"* psi Cen" "14 20 33.4322" "-37 53 07.055" "" 2770000.00 "" km "" "" "" 2007ApJ...660.1556R 4.033999919891357 12.600 0
"*  20 Hya" "09 09 35.5697" "-08 47 15.534" "" "" "" "" "" "" "" "" 5.460000038146973 5.861 0
"*  42 UMa" "10 51 23.7214" "+59 19 12.431" "" "" "" "" "" "" "" "" 5.561999797821045 12.020 0
"HD 175156" "18 54 43.1142" "-15 36 10.935" "" "" "" "" "" "" "" "" 5.085999965667725 2.330 0
"V* IM Peg" "22 53 02.2663" "+16 50 28.300" "" 10400000.00 "" km "" V "" 2009A&ARv..17..251S 5.889999866485596 10.165 0
"HD 142514" "15 58 58.1476" "-65 02 15.305" "" "" "" "" "" "" "" "" 5.739999771118164 4.359 0
"*  36 Dor" "05 54 06.0545" "-63 05 23.209" "" "" "" "" "" "" "" "" 4.659999847412109 36.598 0
"* c02 Aqr" "23 09 26.7960" "-21 10 20.694" "" "" "" "" "" "" "" "" 3.640000104904175 12.671 0
"*  20 Eri" "03 36 17.4041" "-17 28 01.472" "" 4380000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.230000019073486 8.501 0
"HD  97023" "11 09 53.3940" "-32 22 03.104" "" "" "" "" "" "" "" "" 5.765999794006348 9.134 0
"HD   4622" "00 48 01.0650" "-21 43 21.094" "" "" "" "" "" "" "" "" 5.570000171661377 8.963 0
"*  25 Vul" "20 22 03.4304" "+24 26 45.964" "" "" "" "" "" "" "" "" 5.559999942779541 2.597 0
"HD 167096" "18 15 53.4521" "-44 12 23.232" "" "" "" "" "" "" "" "" 5.451000213623047 14.575 0
"*  22 Eri" "03 40 38.3331" "-05 12 38.555" "" 6430000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.53000020980835 5.240 0
"* u Tau" "03 45 40.4433" "+06 02 59.985" "" "" "" "" "" "" "" "" 5.336999893188477 5.538 0
"HD 101615" "11 41 19.7910" "-43 05 44.397" "" "" "" "" "" "" "" "" 5.53000020980835 15.612 0
"* i Boo A" "15 03 47.2296" "+47 39 14.318" "" "" "" "" "" "" "" "" 5.136000156402588 77.246 0
"HD 194152" "20 22 05.3676" "+45 47 41.997" "" "" "" "" "" "" "" "" 5.572000026702881 7.579 0
"HD 190211" "20 03 16.3996" "+18 30 03.576" "" "" "" "" "" "" "" "" 5.9679999351501465 3.979 0
