MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"RX J1201.6+3602" "12 01 38.0" "+36 02 38" "" "" "" "" "" "" "" "" 5.590000152587891 "" 0
"*  13 Vul" "19 53 27.6957" "+24 04 46.608" "" "" "" "" "" "" "" "" 4.639999866485596 9.634 0
"*  62 Psc" "00 48 17.4097" "+07 17 59.749" "" "" "" "" "" "" "" "" 5.9120001792907715 5.495 0
"* mu. Lib A" "14 49 19.0508" "-14 08 56.492" "" "" "" "" "" "" "" "" 5.599999904632568 13.214 0
"*  15 Ari" "02 10 37.5968" "+19 30 01.212" "" "" "" "" "" "" "" "" 5.688000202178955 4.886 0
"* del Ret" "03 58 44.7494" "-61 24 00.667" "" "" "" "" "" "" "" "" 4.570000171661377 6.200 0
"HD  20995" "03 24 29.7029" "+33 32 09.347" "" "" "" "" "" "" "" "" 5.800000190734863 8.940 0
"* alf Sct" "18 35 12.4271" "-08 14 38.653" "" "" "" "" "" "" "" "" 3.8299999237060547 17.695 0
"* ksi Pup" "07 49 17.6556" "-24 51 35.230" "" "" "" "" "" "" "" "" 3.299999952316284 2.720 0
"* bet Oph" "17 43 28.3526" "+04 34 02.295" "" "" "" "" "" "" "" "" 2.75 39.850 0
"* psi01 Aqr" "23 15 53.4940" "-09 05 15.844" "" 15300000.00 "" km 278000.00 "" "" 2016A&A...585A...5B 4.25 22.092 0
"* eta Phe" "00 43 21.2384" "-57 27 47.007" "" "" "" "" "" "" "" "" 4.361000061035156 13.240 0
"* iot Lib" "15 12 13.2902" "-19 47 30.159" "" "" "" "" "" "" "" "" 4.539999961853027 8.590 0
"HD 141318" "15 51 06.8041" "-55 03 19.928" "" "" "" "" "" "" "" "" 5.767000198364258 1.651 0
"HD 102713" "11 49 41.7149" "+34 55 54.329" "" "" "" "" "" "" "" "" 5.7230000495910645 14.493 0
"HD 222095" "23 37 50.9941" "-45 29 32.467" "" "" "" "" "" "" "" "" 4.739999771118164 16.290 0
"HD 176871" "19 01 17.3568" "+26 17 29.077" "" "" "" "" "" "" "" "" 5.686999797821045 4.069 0
"*  42 Her" "16 38 44.8450" "+48 55 42.032" "" "" "" "" "" "" "" "" 4.900000095367432 7.729 0
"* bet Sex" "10 30 17.4802" "-00 38 13.314" "" "" "" "" "" "" "" "" 5.099999904632568 8.890 0
"*  66 Cet" "02 12 47.5413" "-02 23 37.066" "" "" "" "" "" "" "" "" 5.659999847412109 26.538 0
"* eta Cnc" "08 32 42.4962" "+20 26 28.184" "" "" "" "" "" "" "" "" 5.324999809265137 10.258 0
"HD 189831" "20 03 33.4666" "-37 56 26.465" "" "" "" "" "" "" "" "" 4.763999938964844 8.187 0
"HD  23089" "03 46 02.3314" "+63 20 42.211" "" "" "" "" "" "" "" "" 4.809999942779541 2.922 0
"HD  46273A" "06 29 49.0634" "-50 14 20.704" "" "" "" "" "" "" "" "" 5.929999828338623 "" 0
"* pi.01 Peg" "22 09 13.6250" "+33 10 20.477" "" "" "" "" "" "" "" "" 5.581999778747559 11.285 0
"*  49 Lib" "16 00 19.6356" "-16 32 00.283" "" "" "" "" "" "" "" "" 5.46999979019165 35.267 0
"* tau Vir" "14 01 38.7934" "+01 32 40.314" "" "" "" "" "" "" "" "" 4.236999988555908 14.500 0
"*  42 Lib" "15 40 16.8973" "-23 49 05.101" "" "" "" "" "" "" "" "" 4.960000038146973 8.208 0
"HD   2363" "00 27 14.7075" "-25 32 49.824" "" "" "" "" "" "" "" "" 5.968999862670898 5.319 0
"*  14 Vul" "19 59 10.5367" "+23 06 04.604" "" "" "" "" "" "" "" "" 5.659999847412109 18.775 0
"* tet Lyr" "19 16 22.0948" "+38 08 01.423" "" "" "" "" "" "" "" "" 4.380000114440918 3.920 0
"* tet PsA" "21 47 44.1499" "-30 53 53.902" "" "" "" "" "" "" "" "" 5.017000198364258 10.160 0
"*  12 Pup" "07 59 05.7150" "-23 18 37.427" "" "" "" "" "" "" "" "" 5.110000133514404 3.738 0
"*  60 Tau" "04 22 03.5181" "+14 04 37.912" "" "" "" "" "" "" "" "" 5.710000038146973 22.027 0
"* eta Gem" "06 14 52.6452" "+22 30 24.434" "" "" "" "" "" "" "" "" 3.2799999713897705 4.731 0
"HD  80108" "09 16 23.0352" "-44 15 56.635" "" "" "" "" "" "" "" "" 5.093999862670898 1.459 0
"HD 144334" "16 06 06.3891" "-23 36 22.849" "" 3810000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.920000076293945 7.353 0
"* c Boo" "15 07 18.0659" "+24 52 09.099" "" "" "" "" "" "" "" "" 4.929999828338623 51.188 0
"HD 152082" "16 55 24.6888" "-63 16 10.777" "" "" "" "" "" "" "" "" 5.995999813079834 5.773 0
"* c01 Cen" "14 43 39.4396" "-35 10 25.158" "" "" "" "" "" "" "" "" 4.050000190734863 15.570 0
"*  82 UMa" "13 39 30.4479" "+52 55 16.347" "" "" "" "" "" "" "" "" 5.455999851226807 19.349 0
"* l Pup" "07 43 48.4687" "-28 57 17.372" "" "" "" "" "" "" "" "" 3.930000066757202 0.590 0
"HD 225009" "00 02 36.0926" "+66 05 56.268" "" "" "" "" "" "" "" "" 5.8420000076293945 4.063 0
"* ksi Dra" "17 53 31.7296" "+56 52 21.514" "" "" "" "" "" "" "" "" 3.75 28.980 0
"*   2 Her" "15 54 37.8497" "+43 08 18.830" "" "" "" "" "" "" "" "" 5.380000114440918 4.349 0
"* gam Her" "16 21 55.2144" "+19 09 11.261" "" "" "" "" "" "" "" "" 3.759999990463257 16.930 0
"HD  83332" "09 37 00.2073" "-25 17 48.335" "" "" "" "" "" "" "" "" 5.679999828338623 11.443 0
"HD  40292" "05 54 50.0913" "-52 38 07.730" "" "" "" "" "" "" "" "" 5.289999961853027 28.330 0
"*  48 Hya" "14 00 00.1207" "-25 00 37.456" "" "" "" "" "" "" "" "" 5.769999980926514 16.771 0
"HD 217050" "22 57 04.5020" "+48 41 02.645" "" "" "" "" "" "" "" "" 5.429999828338623 3.480 0
"*  52 Psc" "00 32 35.4848" "+20 17 39.543" "" "" "" "" "" "" "" "" 5.369999885559082 11.744 0
"*  25 Cet" "01 03 02.5369" "-04 50 11.757" "" "" "" "" "" "" "" "" 5.4079999923706055 9.508 0
"*   2 Hya" "08 26 27.2082" "-03 59 14.919" "" "" "" "" "" "" "" "" 5.590000152587891 19.990 0
"HD  27304" "04 14 48.5452" "-62 11 30.520" "" "" "" "" "" "" "" "" 5.460000038146973 12.456 0
"*  49 Leo A" "10 35 02.1604" "+08 39 01.552" "" "" "" "" "" "" "" "" 5.789999961853027 9.146 0
"HD  85945" "09 57 13.6116" "+57 25 05.538" "" "" "" "" "" "" "" "" 5.959000110626221 7.414 0
"*   3 Dra" "11 42 28.3617" "+66 44 41.663" "" "" "" "" "" "" "" "" 5.308000087738037 6.038 0
"*  44 Aqr" "22 17 06.4995" "-05 23 13.795" "" "" "" "" "" "" "" "" 5.750999927520752 9.252 0
"HD  59136" "07 27 42.9367" "-22 51 33.085" "" "" "" "" "" "" "" "" 5.96999979019165 2.759 0
"*   8 Cyg" "19 31 46.3218" "+34 27 10.687" "" "" "" "" "" "" "" "" 4.71999979019165 3.790 0
"HD 175360" "18 56 00.6739" "-23 10 25.511" "" "" "" "" "" "" "" "" 5.929999828338623 2.648 0
"HD  92036" "10 37 13.7246" "-27 24 45.487" "" "" "" "" "" "" "" "" 4.889999866485596 6.885 0
"* gam Aps" "16 33 27.0837" "-78 53 49.737" "" "" "" "" "" "" "" "" 3.8540000915527344 20.870 0
"HD  20041" "03 15 47.9705" "+57 08 26.243" "" "" "" "" "" "" "" "" 5.789999961853027 1.064 0
"* del01 Lyr" "18 53 43.5591" "+36 58 18.187" "" "" "" "" "" "" "" "" 5.572999954223633 2.813 0
"* rho02 Eri" "03 02 42.2880" "-07 41 07.718" "" "" "" "" "" "" "" "" 5.335999965667725 12.893 0
"* eps Phe" "00 09 24.6400" "-45 44 50.726" "" "" "" "" "" "" "" "" 3.869999885559082 22.608 0
"* eps Scl" "01 45 38.7571" "-25 03 09.402" "" "" "" "" "" "" "" "" 5.309999942779541 35.570 0
"*  56 Ori" "05 52 26.4385" "+01 51 18.496" "" "" "" "" "" "" "" "" 4.75 2.542 0
"HD  42301" "06 08 57.8693" "-22 25 38.616" "" "" "" "" "" "" "" "" 5.480000019073486 13.458 0
"*  17 Del" "20 55 36.6889" "+13 43 17.530" "" "" "" "" "" "" "" "" 5.182000160217285 6.313 0
"*  37 Peg A" "22 29 57.9317" "+04 25 54.097" "" "" "" "" "" "" "" "" 5.699999809265137 "" 0
"*  64 Ser" "18 57 16.5900" "+02 32 07.245" "" "" "" "" "" "" "" "" 5.551000118255615 3.201 0
"HD   1279" "00 17 09.0440" "+47 56 50.661" "" "" "" "" "" "" "" "" 5.8520002365112305 2.849 0
"HD  62644" "07 42 57.0956" "-45 10 23.215" "" "" "" "" "" "" "" "" 5.039999961853027 42.821 0
"* lam Cnc" "08 20 32.1363" "+24 01 20.320" "" "" "" "" "" "" "" "" 5.929999828338623 5.736 0
"* alf Vul" "19 28 42.3299" "+24 39 53.652" "" "" "" "" "" "" "" "" 4.449999809265137 10.970 0
"*  26 Dra A" "17 34 59.6247" "+61 52 28.241" "" "" "" "" "" "" "" "" 5.28000020980835 69.283 0
"* 108 Vir" "14 45 30.2044" "+00 43 02.180" "" "" "" "" "" "" "" "" 5.664999961853027 5.811 0
"* kap Her A" "16 08 04.5256" "+17 02 49.119" "" "" "" "" "" "" "" "" 4.99399995803833 8.281 0
"USNO-A2.0 1275-09035765" "16 42 49.2791" "+39 46 38.460" "" "" "" "" "" "" "" "" 5.429999828338623 0.804 0
"* k Leo" "10 46 25.2771" "+14 11 40.722" "" "" "" "" "" "" "" "" 5.478000164031982 11.654 0
"HD 106976" "12 18 09.5724" "-03 56 55.610" "" "" "" "" "" "" "" "" 5.989999771118164 17.486 0
"* kap Cas" "00 32 59.9911" "+62 55 54.417" "" "" "" "" "" "" "" "" 4.159999847412109 0.730 0
"* del Sco" "16 00 20.0052" "-22 37 18.143" "" "" "" "" "" "" "" "" 2.319999933242798 6.640 0
"* ksi02 Sgr" "18 57 43.7990" "-21 06 23.961" "" "" "" "" "" "" "" "" 3.509999990463257 8.930 0
"* zet Cap" "21 26 40.0263" "-22 24 40.804" "" "" "" "" "" "" "" "" 3.740000009536743 8.460 0
"HD 140285" "15 44 22.6741" "-41 49 08.718" "" "" "" "" "" "" "" "" 5.929999828338623 6.950 0
"*  47 And" "01 23 40.6162" "+37 42 53.799" "" "" "" "" "" "" "" "" 5.586999893188477 15.762 0
"* sig CMa" "07 01 43.1477" "-27 56 05.389" "" "" "" "" "" "" "" "" 3.4700000286102295 2.910 0
"HD 108323" "12 26 51.6919" "-32 49 48.446" "" "" "" "" "" "" "" "" 5.558000087738037 5.724 0
"HD  25007" "04 10 02.7373" "+80 41 55.220" "" "" "" "" "" "" "" "" 5.619999885559082 "" 0
"* sig Vir" "13 17 36.2832" "+05 28 11.522" "" "" "" "" "" "" "" "" 4.800000190734863 4.830 0
"* eps Ari B" "02 59 12.6782" "+21 20 24.262" "" "" "" "" "" "" "" "" 5.570000171661377 "" 0
"V* PU Aur" "05 18 15.6972" "+42 47 31.596" "" "" "" "" "" "" "" "" 5.650000095367432 5.484 0
"HD  89736" "10 20 16.7155" "-47 41 56.725" "" "" "" "" "" "" "" "" 5.613999843597412 1.240 0
"*  50 Cet" "01 35 58.9697" "-15 24 00.656" "" "" "" "" "" "" "" "" 5.4019999504089355 5.339 0
"HD  83520" "09 37 12.6519" "-53 40 06.634" "" "" "" "" "" "" "" "" 5.4670000076293945 13.980 0
"V* V386 Car" "07 04 18.3094" "-56 44 58.928" "" 3700000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.170000076293945 10.363 0
"* gam Lep" "05 44 27.7906" "-22 26 54.187" "" 821000.00 "" km "" "" "" 2007ApJ...660.1556R 3.5999999046325684 112.296 0
"HD 107860" "12 23 44.7474" "-38 54 40.961" "" "" "" "" "" "" "" "" 5.7820000648498535 8.947 0
"* gam Col" "05 57 32.2095" "-35 16 59.815" "" "" "" "" "" "" "" "" 4.360000133514404 3.750 0
"* gam Lyr" "18 58 56.6224" "+32 41 22.400" "" "" "" "" "" "" "" "" 3.25 5.260 0
"HD 192310" "20 15 17.3913" "-27 01 58.711" "" 1100000.00 "" km 13900.00 "" "" 2016A&A...585A...5B 5.7230000495910645 113.487 0
"* psi Eri" "05 01 26.3459" "-07 10 26.266" "" "" "" "" "" "" "" "" 4.809999942779541 4.410 0
"HD   6953" "01 10 19.4501" "+25 27 27.943" "" "" "" "" "" "" "" "" 5.796999931335449 7.930 0
"*  17 Lep" "06 04 59.1294" "-16 29 03.969" "" "" "" "" "" "" "" "" 4.929999828338623 3.574 0
"* del02 Lyr" "18 54 30.2833" "+36 53 55.013" "" "" "" "" "" "" "" "" 4.300000190734863 4.430 0
"* J Vel" "10 20 54.7957" "-56 02 35.655" "" "" "" "" "" "" "" "" 4.510000228881836 2.269 0
"HD 170521" "18 31 56.2238" "-43 30 26.571" "" "" "" "" "" "" "" "" 5.685999870300293 2.154 0
"HD 154903" "17 13 17.8780" "-67 11 47.724" "" 15700000.00 "" km "" "" "" 2011A&A...536A..71J 5.873000144958496 10.468 0
"* bet Peg" "23 03 46.4574" "+28 04 58.033" "" "" "" "" "" "" "" "" 2.4200000762939453 16.640 0
"* alf PsA" "22 57 39.0462" "-29 37 20.053" "" 1260000.00 "" km "" "" "" 2007ApJ...660.1556R 1.159999966621399 129.810 0
"* alf Sgr" "19 23 53.1748" "-40 36 57.370" "" "" "" "" "" "" "" "" 3.943000078201294 17.940 0
"* eta UMa" "13 47 32.4377" "+49 18 47.760" "" "" "" "" "" "" "" "" 1.8600000143051147 31.380 0
"HD 121853" "13 59 17.4840" "-50 22 10.732" "" 14400000.00 "" km "" "" "" 2011A&A...536A..71J 5.927000045776367 8.320 0
"*  12 Mus" "11 39 29.5936" "-65 23 51.958" "" "" "" "" "" "" "" "" 5.09499979019165 6.500 0
"*  25 Ser" "15 46 05.6365" "-01 48 15.085" "" "" "" "" "" "" "" "" 5.389999866485596 7.523 0
"HD 199579" "20 56 34.7779" "+44 55 29.000" "" "" "" "" "" "" "" "" 5.960000038146973 1.151 0
"HD   4222" "00 45 17.1736" "+55 13 17.030" "" "" "" "" "" "" "" "" 5.409999847412109 9.234 0
"HD   5408" "00 56 46.9716" "+60 21 46.219" "" "" "" "" "" "" "" "" 5.565999984741211 6.060 0
"*   9 Pup A" "07 51 46.3075" "-13 53 52.835" "" "" "" "" "" "" "" "" 5.610000133514404 "" 0
"*  58 Tau" "04 20 36.3103" "+15 05 43.630" "" "" "" "" "" "" "" "" 5.242000102996826 21.090 0
"HD 189178" "19 57 13.8676" "+40 22 04.173" "" "" "" "" "" "" "" "" 5.454999923706055 2.831 0
"V* II Hya" "11 48 45.0831" "-26 44 59.203" "" "" "" "" "" "" "" "" 5.110000133514404 5.980 0
"* c Pup" "07 45 15.2964" "-37 58 06.899" "" "" "" "" "" "" "" "" 3.609999895095825 2.880 0
"* del Sct" "18 42 16.4268" "-09 03 09.188" "" "" "" "" "" "" "" "" 4.710000038146973 16.190 0
"* tet Sco B" "17 37 18.7116" "-42 59 47.619" "" "" "" "" "" "" "" "" 5.400000095367432 "" 0
"HD  46304" "06 32 23.1292" "-05 52 07.748" "" "" "" "" "" "" "" "" 5.5980000495910645 22.686 0
"V* V636 Her" "16 47 19.7469" "+42 14 20.097" "" "" "" "" "" "" "" "" 5.869999885559082 4.228 0
"* alf Tuc" "22 18 30.0947" "-60 15 34.526" "" "" "" "" "" "" "" "" 2.819999933242798 16.330 0
"* tet01 Mic" "21 20 45.6194" "-40 48 34.620" "" 2810000.00 "" km "" V Interfer 2014MNRAS.443.1629S 4.820000171661377 20.169 0
"HD 114835" "13 14 12.0868" "-58 41 02.180" "" 16300000.00 "" km "" "" "" 2011A&A...536A..71J 5.900000095367432 9.571 0
"* tet Dor" "05 13 45.4557" "-67 11 06.929" "" "" "" "" "" "" "" "" 4.801000118255615 6.019 0
"HD  43847" "06 16 35.5880" "-39 15 51.815" "" "" "" "" "" "" "" "" 5.982999801635742 8.258 0
"* eps Gru" "22 48 33.2980" "-51 19 00.713" "" "" "" "" "" "" "" "" 3.4660000801086426 25.790 0
"* eps Psc" "01 02 56.6086" "+07 53 24.485" "" "" "" "" "" "" "" "" 4.28000020980835 17.940 0
"*  68 Gem" "07 33 36.4815" "+15 49 35.978" "" "" "" "" "" "" "" "" 5.263000011444092 7.700 0
"*   7 Dra" "12 47 34.3433" "+66 47 25.095" "" "" "" "" "" "" "" "" 5.422999858856201 4.224 0
"* zet Pav" "18 43 02.1352" "-71 25 41.206" "" "" "" "" "" "" "" "" 4.002999782562256 14.930 0
"HD   8671" "01 26 18.6862" "+43 27 27.869" "" "" "" "" "" "" "" "" 5.978000164031982 23.438 0
"[SC96] GC 265" "17 56.7" "-28 03" "" "" "" "" "" "" "" "" 5.75 "" 0
"*  37 Cam" "06 09 59.0135" "+58 56 08.494" "" "" "" "" "" "" "" "" 5.355000019073486 7.346 0
"* lam Tuc" "00 55 00.3110" "-69 31 37.504" "" 12400000.00 "" km "" "" "" 2011A&A...536A..71J 5.453999996185303 14.473 0
"* del Tau" "04 22 56.0951" "+17 32 33.049" "" "" "" "" "" "" "" "" 3.759999990463257 20.309 0
"*  19 Mon" "07 02 54.7766" "-04 14 21.237" "" "" "" "" "" "" "" "" 5.0 2.680 0
"M  19" "17 02 37.69" "-26 16 04.6" "" "" "" "" "" "" "" "" 5.570000171661377 0.142 0
"HD 199260" "20 56 47.3316" "-26 17 46.960" "" "" "" "" "" "" "" "" 5.699999809265137 47.389 0
"HD 109317" "12 33 38.9194" "+33 14 51.294" "" "" "" "" "" "" "" "" 5.380000114440918 11.086 0
"* del Gem" "07 20 07.3745" "+21 58 56.294" "" 1480000.00 "" km "" "" "" 2007ApJ...660.1556R 3.5299999713897705 53.769 0
"HD 193322" "20 18 06.9882" "+40 43 55.500" "" "" "" "" "" "" "" "" 5.840000152587891 1.680 0
"* lam CrA" "18 43 46.9419" "-38 19 24.390" "" "" "" "" "" "" "" "" 5.111000061035156 15.952 0
"V* MZ Pup" "08 04 16.1895" "-32 40 29.389" "" "" "" "" "" "" "" "" 5.119999885559082 0.813 0
"*  17 Mon" "06 47 19.8301" "+08 02 14.122" "" "" "" "" "" "" "" "" 4.769999980926514 6.378 0
"* m Vir" "13 41 36.7700" "-08 42 10.729" "" "" "" "" "" "" "" "" 5.010000228881836 5.438 0
"HD 170650" "18 29 35.7102" "+23 51 58.314" "" "" "" "" "" "" "" "" 5.86299991607666 1.949 0
"*  56 Peg" "23 07 06.7390" "+25 28 05.732" "" "" "" "" "" "" "" "" 4.739999771118164 5.510 0
"* psi For" "02 53 34.3968" "-38 26 13.204" "" "" "" "" "" "" "" "" 5.926000118255615 17.668 0
"*  18 Crt" "11 32 54.1287" "-31 05 14.011" "" "" "" "" "" "" "" "" 5.110000133514404 7.797 0
"* ome UMa" "10 53 58.7409" "+43 11 23.847" "" "" "" "" "" "" "" "" 4.664000034332275 13.291 0
"HD  34989" "05 21 43.5623" "+08 25 42.799" "" "" "" "" "" "" "" "" 5.800000190734863 2.557 0
"* del Ari" "03 11 37.7646" "+19 43 36.039" "" "" "" "" "" "" "" "" 4.369999885559082 19.220 0
"HD 121164" "13 53 10.2817" "+28 38 53.275" "" "" "" "" "" "" "" "" 5.908999919891357 13.599 0
"HD    344" "00 08 03.4868" "-33 31 45.568" "" 16400000.00 "" km "" "" "" 2011A&A...536A..71J 5.6620001792907715 10.271 0
"* tet UMa" "09 32 51.4338" "+51 40 38.281" "" "" "" "" "" "" "" "" 3.180000066757202 74.190 0
"*  42 Cet" "01 19 48.2958" "-00 30 32.513" "" "" "" "" "" "" "" "" 5.869999885559082 9.930 0
"* zet Boo B" "14 41 08.9078" "+13 43 42.300" "" "" "" "" "" "" "" "" 4.510000228881836 "" 0
"*   6 Leo" "09 31 57.5770" "+09 42 56.755" "" "" "" "" "" "" "" "" 5.070000171661377 5.278 0
"HD  14943" "02 22 54.6750" "-51 05 31.659" "" "" "" "" "" "" "" "" 5.8979997634887695 16.177 0
"* ksi Aql" "19 54 14.8815" "+08 27 41.235" "" 13500000.00 "" km 334000.00 BV BrighCol 2013A&A...554A..84M 4.706999778747559 17.518 0
"* m Pup" "07 38 18.0454" "-25 21 53.301" "" "" "" "" "" "" "" "" 4.670000076293945 5.270 0
"*  94 Psc" "01 26 41.6791" "+19 14 25.526" "" "" "" "" "" "" "" "" 5.494999885559082 10.830 0
"HD 182900" "19 26 24.1347" "+13 01 25.691" "" "" "" "" "" "" "" "" 5.754000186920166 17.586 0
"*  20 Per" "02 53 42.6128" "+38 20 14.953" "" "" "" "" "" "" "" "" 5.3429999351501465 14.150 0
"* I Hya" "09 41 17.0073" "-23 35 29.453" "" "" "" "" "" "" "" "" 4.760000228881836 6.440 0
"* sig Cen" "12 28 02.3820" "-50 13 50.287" "" "" "" "" "" "" "" "" 3.9100000858306885 7.920 0
"HD 171034" "18 33 57.7663" "-33 00 59.616" "" "" "" "" "" "" "" "" 5.276000022888184 2.719 0
"HD  49933" "06 50 49.8309" "-00 32 27.167" "" "" "" "" "" "" "" "" 5.770999908447266 33.533 0
"* tau Gem" "07 11 08.3703" "+30 14 42.589" "" "" "" "" "" "" "" "" 4.420000076293945 8.326 0
"*  52 Cas" "02 02 52.4758" "+64 54 05.270" "" "" "" "" "" "" "" "" 5.986000061035156 12.078 0
"* kap02 Cet" "03 21 06.8031" "+03 40 32.241" "" "" "" "" "" "" "" "" 5.690000057220459 8.821 0
"*  32 Peg" "22 21 19.3389" "+28 19 49.906" "" "" "" "" "" "" "" "" 4.809999942779541 4.520 0
"* tet01 Ser" "18 56 13.1871" "+04 12 12.982" "" "" "" "" "" "" "" "" 4.570000171661377 24.270 0
"*  26 Aur" "05 38 38.0850" "+30 29 32.705" "" "" "" "" "" "" "" "" 5.406000137329102 5.760 0
"HD  23300" "03 45 59.2599" "+45 40 54.837" "" "" "" "" "" "" "" "" 5.65500020980835 4.664 0
"* mu. Ari" "02 42 21.9357" "+20 00 41.275" "" "" "" "" "" "" "" "" 5.739999771118164 7.570 0
"* j Cen" "11 49 41.0673" "-63 47 18.500" "" "" "" "" "" "" "" "" 4.308000087738037 4.596 0
"* alf Ser" "15 44 16.0743" "+06 25 32.263" "" "" "" "" "" "" "" "" 2.630000114440918 44.100 0
"HD  26326" "04 09 17.8360" "-16 23 09.080" "" "" "" "" "" "" "" "" 5.434999942779541 4.987 0
"HD 200044" "21 00 27.6883" "+19 19 46.492" "" "" "" "" "" "" "" "" 5.702000141143799 5.455 0
"HD  41335" "06 04 13.5003" "-06 42 32.225" "" "" "" "" "" "" "" "" 5.210000038146973 2.000 0
"*  47 Eri" "04 34 11.6284" "-08 13 52.865" "" "" "" "" "" "" "" "" 5.188000202178955 4.220 0
"HD 184293" "19 31 19.3307" "+50 18 24.138" "" "" "" "" "" "" "" "" 5.539999961853027 7.104 0
"V* BE Cam" "03 49 31.2775" "+65 31 33.525" "" "" "" "" "" "" "" "" 4.480000019073486 3.329 0
"*  20 Cet" "00 53 00.4945" "-01 08 39.331" "" "" "" "" "" "" "" "" 4.760000228881836 5.560 0
"V* GG Lup" "15 18 56.3746" "-40 47 17.596" "" "" "" "" "" "" "" "" 5.604000091552734 6.664 0
"*  23 Hya" "09 16 41.7388" "-06 21 11.319" "" "" "" "" "" "" "" "" 5.230000019073486 9.378 0
"HD  87783A" "10 06 11.2118" "-47 22 11.985" "" "" "" "" "" "" "" "" 5.21999979019165 12.190 0
"HD  43827" "06 17 41.7240" "-16 48 57.271" "" "" "" "" "" "" "" "" 5.1479997634887695 5.508 0
"*  10 Crt" "11 08 43.9901" "-28 04 50.353" "" "" "" "" "" "" "" "" 5.421000003814697 18.314 0
"* f Lup" "15 17 49.8380" "-30 08 55.216" "" "" "" "" "" "" "" "" 4.329999923706055 10.010 0
"* pi. Cen A" "11 21 00.4045" "-54 29 27.684" "" "" "" "" "" "" "" "" 4.079999923706055 "" 0
"V* KQ Pup" "07 33 47.9667" "-14 31 26.054" "" "" "" "" "" "" "" "" 4.96999979019165 1.354 0
"* tet Crt" "11 36 40.9133" "-09 48 08.091" "" "" "" "" "" "" "" "" 4.672999858856201 11.630 0
"V* CG UMa" "09 21 43.2878" "+56 41 57.193" "" "" "" "" "" "" "" "" 5.46999979019165 4.413 0
"* rho02 Ari" "02 55 48.4979" "+18 19 53.902" "" "" "" "" "" "" "" "" 5.929999828338623 9.280 0
"*   4 And" "23 07 39.2672" "+46 23 14.030" "" "" "" "" "" "" "" "" 5.294000148773193 9.155 0
"*  11 LMi" "09 35 39.5021" "+35 48 36.477" "" "" "" "" "" "" "" "" 5.340000152587891 89.009 0
"* lam Lib" "15 53 20.0538" "-20 10 01.471" "" "" "" "" "" "" "" "" 5.0269999504089355 7.388 0
"HD 217303" "23 00 05.7892" "-25 09 51.047" "" "" "" "" "" "" "" "" 5.656000137329102 4.985 0
"*   5 Vul" "19 26 13.2462" "+20 05 51.844" "" "" "" "" "" "" "" "" 5.591000080108643 13.863 0
"* gam Cen A" "12 41 31.0337" "-48 57 35.684" "" "" "" "" "" "" "" "" 2.819999933242798 "" 0
"HD 102328" "11 46 55.6222" "+55 37 41.480" "" "" "" "" "" "" "" "" 5.254000186920166 14.896 0
"HD   4398" "00 46 11.7559" "-22 31 19.570" "" "" "" "" "" "" "" "" 5.5 10.467 0
"* eta Lib" "15 44 04.3994" "-15 40 22.203" "" "" "" "" "" "" "" "" 5.4120001792907715 22.840 0
"HD 153053" "17 00 06.2792" "-54 35 49.837" "" "" "" "" "" "" "" "" 5.632999897003174 18.984 0
"V* V3961 Sgr" "19 51 50.6106" "-39 52 27.738" "" 3970000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.329999923706055 10.341 0
"* eps Equ A" "20 59 04.4820" "+04 17 36.618" "" "" "" "" "" "" "" "" 5.960000038146973 "" 0
"* 125 Tau" "05 39 44.2007" "+25 53 49.540" "" "" "" "" "" "" "" "" 5.165999889373779 5.255 0
"*   7 Cet" "00 14 38.4165" "-18 55 58.314" "" "" "" "" "" "" "" "" 4.460000038146973 7.290 0
"*  87 Psc" "01 14 07.6281" "+16 08 00.514" "" "" "" "" "" "" "" "" 5.961999893188477 7.678 0
"HD  15755" "02 32 52.6196" "+34 32 32.581" "" "" "" "" "" "" "" "" 5.826000213623047 12.122 0
"HD 119250" "13 42 55.0013" "-41 24 03.959" "" 14800000.00 "" km "" "" "" 2011A&A...536A..71J 5.955999851226807 9.062 0
"* eta Col" "05 59 08.8051" "-42 48 54.482" "" "" "" "" "" "" "" "" 3.9600000381469727 6.910 0
"HD 211392" "22 16 52.5673" "-09 02 24.197" "" "" "" "" "" "" "" "" 5.790999889373779 9.416 0
"HD  47182" "06 36 46.5980" "-13 19 15.676" "" "" "" "" "" "" "" "" 5.939000129699707 4.736 0
"HD  71377" "08 26 41.9527" "-12 32 04.574" "" "" "" "" "" "" "" "" 5.519999980926514 11.309 0
"*  22 Aql" "19 16 31.0314" "+04 50 05.256" "" "" "" "" "" "" "" "" 5.568999767303467 4.907 0
"HD 159501" "17 33 07.2574" "+41 14 36.422" "" "" "" "" "" "" "" "" 5.72599983215332 9.407 0
"* p Eri B" "01 39 47.5647" "-56 11 47.213" "" "" "" "" "" "" "" "" 5.796999931335449 122.004 0
"* omi Cas" "00 44 43.5186" "+48 17 03.713" "" "" "" "" "" "" "" "" 4.5 4.640 0
